doi,is_relevant,journal,explanation,topic_words,authors,title,abstract
10.5194/gmd-2024-126,True,Geoscientific Model Development Discussions,这篇论文主要研究了野火和农业焚烧排放对大气环境的影响，并利用多模型方法来模拟这些排放的跨境传输及其对大气成分的影响。研究涵盖了颗粒物、臭氧前体、温室气体、汞和重金属等多种污染物，并探讨了气候变化对火灾频率、强度、持续时间和位置的影响。论文旨在通过多模型模拟实验，提高对火灾大气科学、模型和影响的不确定性和变异性的理解，并提供生物质燃烧造成的空气污染和辐射影响的定量估计。研究结果将有助于制定气候适应和减缓策略，以及土地管理措施。,"['atmospheric composition', 'air quality', 'satellite observations', 'wildland fire', 'agricultural burning', 'emissions', 'transboundary transport', 'particulate matter', 'ozone', 'greenhouse gases', 'mercury', 'metals', 'climate change', 'air pollution', 'modeling']",Cynthia H. Whaley;Tim Butler;Jose A. Adame;Rupal Ambulkar;Stephen R. Arnold;Rebecca R. Buchholz;Benjamin Gaubert;Douglas S. Hamilton;Min Huang;Hayley Hung;Johannes W. Kaiser;Jacek W. Kaminski;Christophe Knote;Gerbrand Koren;Jean-Luc Kouassi;Meiyun Lin;Tianjia Liu;Jianmin Ma;Kasemsan Manomaiphiboon;Elisa Bergas Masso;Jessica L. McCarty;Mariano Mertens;Mark Parrington;Helene Peiro;Pallavi Saxena;Saurabh Sonwani;Vanisa Surapipith;Damaris Tan;Wenfu Tang;Veerachai Tanpipat;Kostas Tsigaridis;Christine Wiedinmyer;Oliver Wild;Yuanyu Xie;Paquita Zuidema,"HTAP3 Fires: Towards a multi-model, multi-pollutant study of fire impacts","The multi-model experiment design of the HTAP3 Fires project takes a multi-pollutant approach to improving our understanding of transboundary transport of wildland fire and agricultural burning emissions and their impacts. The experiments are designed with the goal of answering science policy questions related to fires. The options for the multi-model approach, including inputs, outputs, and model set up are discussed, and the official recommendations for the project are presented. 
 Open biomass burning has major impacts globally and regionally on atmospheric composition. Fire emissions include particulate matter, tropospheric ozone precursors, greenhouse gases, as well as persistent organic pollutants, mercury and other metals. Fire frequency, intensity, duration, and location are changing as the climate warms, and modelling these fires and their impacts is becoming more and more critical to inform climate adaptation and mitigation, as well as land management. Indeed, the air pollution from fires can reverse the progress made by emission controls on industry and transportation. At the same time, nearly all aspects of fire modelling – such as emissions, plume injection height, long-range transport, and plume chemistry – are highly uncertain. This paper outlines a multi-model, multi-pollutant, multi-regional study to improve the understanding of the uncertainties and variability in fire atmospheric science, models, and fires’ impacts, in addition to providing quantitative estimates of the air pollution and radiative impacts of biomass burning. Coordinated under the auspices of the Task Force on Hemispheric Transport of Air Pollution, the international atmospheric modelling and fire science communities are working towards the common goal of improving global fire modelling and using this multi-model experiment to provide estimates of fire pollution for impact studies. This paper outlines the research needs, opportunities, and options for the fire-focused multi-model experiments and provides guidance for these modelling experiments, outputs, and analysis that are to be pursued over the next 3 to 5 years. It proposes a plan for delivering specific products at key points over this period to meet important milestones relevant to science and policy audiences."
10.5194/gmd-2024-121,True,Geoscientific Model Development Discussions,该研究利用北极海冰质量平衡浮标（IMB）观测数据，评估了CMIP6气候模型对北极海冰融化、生长和热传导的模拟能力。研究发现，模型模拟的海冰融化、生长和热传导过程与浮标观测结果存在偏差，特别是模型模拟的海冰融化和生长过程比浮标观测结果更强。这表明，气候模型对北极海冰过程的模拟存在不足，需要进一步改进。该研究使用了卫星观测数据，例如海冰厚度和温度数据，因此与大气环境遥感技术密切相关。,"['sea ice', 'climate models', 'Arctic', 'satellite observations', 'remote sensing']",Alex Edward West;Edward William Blockley,"CMIP6 models overestimate sea ice melt, growth & conduction relative to ice mass balance buoy estimates","This study uses ice mass balance buoys – temperature and height-measuring devices frozen into sea ice – to find how well climate models simulate the melt & growth of, and conduction of heat through, Arctic sea ice. This may help understand why models produce varying amounts of sea ice in the present day. We find models tend to show more melt, growth or conduction for a given ice thickness than the buoys, though the difference is smaller for models with more physically realistic thermodynamics. 
 With the ongoing decline in Arctic sea ice extent, the accurate simulation of Arctic sea ice in coupled models remains an important problem in climate modelling. In this study, the substantial CMIP6 model spread in Arctic sea ice extent and volume is investigated using a novel, process-based approach. An observational dataset derived from the Arctic Ice Mass Balance buoy (IMB) network is used to evaluate the thermodynamic and mass balance diagnostics produced by a subset of CMIP6 models, to better understand the model processes that underlie the large-scale sea ice states. Due to the sparse nature of the IMB observations, the evaluation is performed by comparing distributions of modelled and observed fluxes in the densely sampled regions of the North Pole and Beaufort Sea."
10.5194/gmd-2024-117,True,Geoscientific Model Development Discussions,这篇论文介绍了MESSy DWARF，一种基于MESSy（模块化地球子模型系统）的简化模型。MESSy通常与完整的动力学模型相结合，构建化学气候模型。然而，由于MESSy的模块化概念和新开发的DWARF组件，现在可以创建仅包含一个或多个过程描述的简化模型。这对于技术优化（例如，GPU移植）非常有用，并且可以用于创建更简单的模型，例如化学箱模型。论文还提到了地球系统模型（ESM）代码适应现代计算架构的挑战，以及如何通过MESSy DWARF解决这些挑战。,"['atmospheric composition', 'chemical box model', 'Earth system model (ESM)', 'GPU porting']",Astrid Kerkweg;Timo Kirfel;Doung H. Do;Sabine Griessbach;Patrick Jöckel;Domenico Taraborrelli,The MESSy DWARF (based on MESSy v2.55.2),"This article introduces the MESSy DWARF. Usually, the Modular Earth Submodel System (MESSy) is linked to full dynamical models to build chemistry climate models. However, due to the modular concept of MESSy, and the newly developed DWARF component, it is now possible to create simplified models containing just one or some process descriptions. This renders very useful for technical optimisation (e.g., GPU porting) and can be used to create less complex models, e.g., a chemical box model. 
 Adaptation of Earth system model (ESM) codes to modern computing architectures is challenging, as ESMs consist of a multitude of different components. Historically grown and developed by scientists rather than software engineers, the codes of the individual components are often interwoven, making the optimisation of the ESMs on modern computing architectures rather challenging, if not impossible."
10.5194/gmd-17-6379-2024,True,Geoscientific Model Development,该论文介绍了一个名为 AeroMix 的 Python 软件包，它扩展了 OPAC 模型的 aerosol 模块，能够更准确地模拟真实大气气溶胶混合状态。AeroMix 可以模拟外部混合和核壳混合气溶胶，并模拟由任意数量的气溶胶组分组成的混合物的光学性质。论文还展示了 AeroMix 在模拟印度坎普尔（城市）和孟加拉湾（海洋）的气溶胶混合状态方面的能力，并与单颗粒碳黑光度计 (SP2) 和透射电子显微镜 (TEM) 的独立测量结果相一致。AeroMix 的开发为模拟气溶胶混合状态提供了有价值的工具，有助于评估气溶胶对云凝结核性质和辐射收支的影响。,"['aerosol optical properties', 'aerosol mixing states', 'atmospheric composition', 'satellite observations', 'air quality monitoring', 'remote sensing', 'Mie inversion', 'aerosol chemical composition', 'cloud-nucleating properties', 'radiation budget']",Sam P. Raj;Puna Ram Sinha;Rohit Srivastava;Srinivas Bikkina;Damu Bala Subrahamanyam,AeroMix v1.0.1: a Python package for modeling aerosol optical properties and mixing states,"A Python successor to the aerosol module of the OPAC model, named AeroMix, has been developed, with enhanced capabilities to better represent real atmospheric aerosol mixing scenarios. AeroMix’s performance in modeling aerosol mixing states has been evaluated against field measurements, substantiating its potential as a versatile aerosol optical model framework for next-generation algorithms to infer aerosol mixing states and chemical composition. 
 Assessing aerosol mixing states, which primarily depend on aerosol chemical compositions, is indispensable to estimate direct and indirect effects of aerosols. The limitations of the direct measurements of aerosol chemical composition and mixing states necessitate modeling approaches to infer the aerosol mixing states. The Optical Properties of Aerosols and Clouds (OPAC) model has been extensively utilized to construct optically equivalent aerosol chemical compositions from measured aerosol optical properties using Mie inversion. However, the representation of real atmospheric aerosol mixing scenarios in OPAC has perennially been challenged by the exclusive assumption of external mixing. A Python successor to the aerosol module of the OPAC model is developed, named AeroMix, with novel capabilities to (1) model externally and core–shell mixed aerosols, (2) simulate optical properties of aerosol mixtures constituted by any number of aerosol components, and (3) define aerosol composition and relative humidity in up to six vertical layers. Designed as a versatile open-source aerosol optical model framework, AeroMix is tailored for sophisticated inversion algorithms aimed at modeling aerosol mixing states and also their physical and chemical properties. AeroMix's performance is demonstrated by modeling the probable aerosol mixing states over Kanpur (urban) and the Bay of Bengal (marine) in south Asia. The modeled mixing states are consistent with independent measurements using a single-particle soot photometer (SP2) and transmission electron microscopy (TEM), substantiating the potential capability of AeroMix to model complex aerosol mixing scenarios involving multiple internally mixed components in diverse environments. This work contributes a valuable tool for modeling aerosol mixing states to assess their impact on cloud-nucleating properties and radiation budget."
10.5194/gmd-17-6319-2024,True,Geoscientific Model Development,这篇论文研究了利用深度学习模型模拟南部大平原边界层云的动态变化。该模型以大气辐射测量 (ARM) 计划在南部大平原站点收集的长期观测数据为训练和验证数据，并以地面气象条件和热通量等观测数据作为输入，预测云的存在、云边界位置和云量垂直剖面等信息。研究结果表明，该模型能够很好地模拟云场的演变，并能有效地提高再分析数据对云场的模拟精度。该研究表明，深度学习模型可以作为诊断工具，用于评估物理模型模拟层状云和积云的能力，并为改进天气预报和气候预测模型中边界层云的模拟提供参考。,"['boundary layer clouds', 'satellite observations', 'reanalysis frameworks', 'cloud parameterization', 'weather forecasting', 'climate prediction']",Tianning Su;Yunyan Zhang,Deep-learning-driven simulations of boundary layer clouds over the Southern Great Plains,"Using 2 decades of field observations over the Southern Great Plains, this study developed a deep-learning model to simulate the complex dynamics of boundary layer clouds. The deep-learning model can serve as the cloud parameterization within reanalysis frameworks, offering insights into improving the simulation of low clouds. By quantifying biases due to various meteorological factors and parameterizations, this deep-learning-driven approach helps bridge the observation–modeling divide. 
 Based on long-term observations at the Southern Great Plains site by the Atmospheric Radiation Measurement (ARM) program for training and validation, a deep-learning model is developed to simulate the daytime evolution of boundary layer clouds (BLCs) from the perspective of land–atmosphere coupling. The model takes ARM measurements (including early-morning soundings and diurnally varying surface meteorological conditions and heat fluxes) as inputs and predicts hourly estimates (including cloud occurrence, the positions of cloud boundaries, and the vertical profile of the cloud fraction) as outputs. The deep-learning model offers good agreement with the observed cloud fields, especially in the accuracy with which cloud occurrence and base height are reproduced. When the inputs are substituted by reanalysis data from ERA5 and MERRA-2, the outputs of the deep-learning model provide a better agreement with observation than the cloud fields extracted from ERA5 and MERRA-2 themselves. Thus, the deep-learning model shows great potential to serve as a diagnostic tool for the performance of physics-based models in simulating stratiform and cumulus clouds. By quantifying biases in clouds and attributing them to the simulated atmospheric state variables versus the model-parameterized cloud processes, this observation-based deep-learning model may offer insights into the directions needed to improve the simulation of BLCs in physics-based models for weather forecasting and climate prediction."
10.5194/gmd-17-6173-2024,True,Geoscientific Model Development,这篇论文主要研究了臭氧对植被的影响，并开发了一种新的参数化方案，用于在区域和全球过程模型中模拟臭氧对植被的损害。该方案基于大量来自臭氧熏蒸实验的数据，能够更准确地模拟植物对臭氧的响应，并考虑了植物对臭氧的耐受性差异。研究结果表明，臭氧暴露会降低全球叶片光合作用速率和气孔导度，并对全球初级生产力产生影响。该研究与大气环境遥感技术密切相关，因为它利用了卫星观测数据来评估臭氧对植被的影响，并开发了新的模型来模拟臭氧对全球植被的影响。,"['ozone', 'vegetation', 'photosynthesis', 'stomatal conductance', 'global process-based models', 'satellite observations']",Fang Li;Zhimin Zhou;Samuel Levis;Stephen Sitch;Felicity Hayes;Zhaozhong Feng;Peter B. Reich;Zhiyi Zhao;Yanqing Zhou,Quantifying the role of ozone-caused damage to vegetation in the Earth system: a new parameterization scheme for photosynthetic and stomatal responses,"A new scheme is developed to model the surface ozone damage to vegetation in regional and global process-based models. Based on 4210 data points from ozone experiments, it accurately reproduces statistically significant linear or nonlinear photosynthetic and stomatal responses to ozone in observations for all vegetation types. It also enables models to implicitly capture the variability in plant ozone tolerance and the shift among species within a vegetation type. 
 Surface ozone (O3) is the primary air pollutant threatening global vegetation. It typically reduces the photosynthetic rate and stomatal conductance, leading to changes in carbon, water, and energy cycles; vegetation structure and composition; and climate. Several parameterization schemes have been developed to integrate the photosynthetic and stomatal responses to O3 exposure in regional and global process-based models to simulate time- and space-varying O3 plant damage and its cascading dynamic influence. However, these schemes are calibrated based on limited observations and often fail to reproduce the response relationships in observations, impeding accurate assessments of the role of O3 plant damage in the Earth system. This study proposes a new parameterization scheme to utilize the extensive observations from O3 fumigation experiments to inform large-scale modeling. It is built on 4210 paired data points of photosynthetic and stomatal responses compiled from the peer-reviewed literature, more than 6 times larger than those employed in earlier schemes. Functions of phytotoxic O3 dose (POD) are found to accurately reproduce the statistically significant linear or nonlinear relationships observed between POD and either relative leaf photosynthetic rate or relative stomatal conductance for needleleaf trees, broadleaf trees, shrubs, grasses, and crops. These eliminate the practice in earlier schemes of setting response functions as constants and applying the response function from one vegetation type to another. It outperforms the old scheme in the Community Land Model (CLM), which skillfully reproduces the observed response for crop photosynthetic rate only. The nonlinear response functions we developed depict decreasing plant sensitivity with increases in POD, enabling models to implicitly capture the variability in plant ozone tolerance and the shift among plant species for both intra- and inter-PFTs (plant functional types) within a vegetation type observed in the real world. Then, the new scheme is incorporated into the Community Earth System Model version 2.2 (CESM2.2), specifically its land component CLM5, to quantify the global impacts of present-day O3 plant damage by comparing the simulations with and without O3 plant damage. Results show that O3 exposure reduces the global leaf photosynthetic rate by 8.5 % and stomatal conductance by 7.4 %, around half the estimates using the old scheme. Furthermore, the new scheme improves global gross primary productivity (GPP) simulations, decreasing RMSE by 11.1 % relative to simulations without O3 plant damage and by 11.7 % compared to the old scheme. These results underscore the importance of including O3 plant damage in large-scale process-based models and the effectiveness of the new scheme in assessing and projecting globally the role of O3 plant damage in the Earth system."
10.5194/essd-2024-342,True,Earth System Science Data Discussions,这篇论文描述了利用NASA/NOAA可见光红外成像辐射仪套件（VIIRS）的夜间光谱数据，对全球范围内的海上灯光结构进行综合性绘制。研究利用VIIRS的夜间光谱数据，结合船舶探测和云层清除后的夜间灯光数据，识别并绘制了包括渔场、平台、锚地、气体火炬、运输路线等在内的各种海上灯光结构。这项研究对于理解海上灯光污染、渔场分布以及供应链中断等方面具有重要意义。,"['satellite observations', 'nighttime light', 'VIIRS', 'offshore lighting', 'fishing grounds', 'light pollution']",Christopher D. Elvidge;Tilottama Ghosh;Namrata Chatterjee;Mikhail Zhizhin;Paul C. Sutton;Morgan Bazilian,A Comprehensive Global Mapping of Offshore Lighting,"We present a comprehensive global map of offshore lighting structures. The data are derived from low light imaging data collected nightly by the NASA/NOAA Visible Infrared Imaging Radiometer Suite (VIIRS) day / night band (DNB). The form of the structures only becomes apparent when data from one or more years are accumulated. Identifiable structures include fishing grounds, platforms, gas flares, anchorages, and transportation routes. 
 We present the first comprehensive multiyear global mapping of offshore lighting structures derived from low-light imaging satellite observations collected at night. The sensor is the day/night band (DNB) flown as part of the NASA/NOAA Visible Infrared Imaging Radiometer Suite (VIIRS). The product merges two operational nighttime light products: VIIRS boat detection (VBD) data and VIIRS cloud-free nighttime lights (VNL). The two products are spatially complementary, making it possible to fill gaps through a merger. Both product sets have an average DNB radiance layer, and the merger involves preserving the higher of the two average radiances. A wide range of lighting structures are present, from fishing grounds, platforms, anchorages, gas flares, transit routes, and the glow surrounding bright lighting onshore. The richness in the numbers and types of offshore lighting structures traces back to the DNB spike detector at the core of the VBD algorithm. The VNL algorithm uses outlier removal to filter out biomass burning, an essential process for mapping electric lighting onshore. The outlier removal drops about 80 % of the offshore lighting detections. We expect the new product will lead to an improved understanding of fishing grounds, offshore light pollution, and supply chain disruptions at anchorages, thereby aiding in the development of more sustainable and efficient practices."
10.5194/essd-2024-334,True,Earth System Science Data Discussions,这篇论文研究了利用卫星观测数据反演海洋次表层温度和盐度的算法。该算法利用了海洋表面与次表层之间的紧密耦合关系，以及温度和盐度的协变性，能够从卫星观测的海洋表面温度、盐度和海面高度数据中重建上层海洋温度和盐度的垂直分布。该研究成果可以用于研究海洋中尺度现象，评估不同海域的海洋热含量等。,"['satellite observations', 'sea surface temperature (SST)', 'sea surface salinity (SSS)', 'ocean heat content']",Shizuo Liu;Shineng Hu,Seeing through the Sea with Satellites: Reconstructing Ocean Subsurface Temperature and Salinity with Satellite Observations,"Ocean data are crucial for ocean science and climate change research. In this study, we develop a novel algorithm to infer ocean subsurface temperature and salinity using satellite observations of ocean surface properties. The algorithm proposed is efficient, interpretable and widely applicable. The resultant dataset has a global coverage with a high spatial resolution (0.25°x0.25°) and has been validated against in-situ observations with satisfactory accuracy. 
 In-situ measurements of ocean temperature and salinity are critical to ocean-related studies but are limited in space and time. Satellite retrievals provide high-resolution, globally-covered sea surface temperature (SST), salinity (SSS) and cannot directly measure the subsurface information., and height (SSH), but are limited to the ocean surface and cannot directly measure the subsurface information. Here we design a physics-informed algorithm that can reconstruct the vertical distributions of upper ocean temperature and salinity based purely on satellite observations. The algorithm stresses the tight ocean surface-subsurface coupling and the co-variability of ocean temperature and salinity. It is firstly tested with climate model simulations and then validated with actual observations by Argo floats, moored buoys and multiple ocean reanalysis datasets. The resultant satellite-based upper ocean temperature and salinity dataset has a global coverage, a high spatial resolution, and resolves ocean thermohaline structure from surface to 400 m. This dataset complements existing ocean subsurface products as an independent satellite-based observational dataset. The success of our reconstruction algorithm highlights a pressing need to maintain and advance the satellite observations of SST, SSS, and SSH. The reconstructed ocean temperature and salinity dataset can be accessed at https://doi.org/10.5281/zenodo.13145129 (Liu, 2024) and be used by researchers to study mesoscale ocean phenomena, assess the ocean heat content in various sea areas and etc."
10.5194/essd-2024-325,True,Earth System Science Data Discussions,该研究关注的是叶片倾角 (LIA) 的全球分布及其对辐射传输、蒸散、降雨截留等过程的影响。研究人员通过整合全球 LIA 测量数据，构建了全球 500 米分辨率的 LIA 产品，并利用该产品推算出了全球叶片投影函数 (G(0))。这些产品可以帮助我们更好地理解全球 LIA 的分布规律，并为遥感反演和陆面模型研究提供重要参考。,"['leaf inclination angle', 'remote sensing', 'land surface modeling', 'radiative transfer', 'evapotranspiration']",Sijia Li;Hongliang Fang,Mapping global leaf inclination angle (LIA) based on field measurement data,"Leaf inclination angle (LIA) is a vital parameter in radiative transfer, rainfall interception, evapotranspiration, photosynthesis, and hydrological processes. However, global LIA knowledge is still lacking. This study generated the first global 500 m LIA products by gap-filling LIA measurement data. The global LIA is 41.47°±9.55° and increases with latitude. The LIA products would enhance our understanding of global LIA and assist remote sensing retrieval and land surface modeling studies. 
 Leaf inclination angle (LIA), the angle between leaf surface normal and zenith directions, is a vital parameter in radiative transfer, rainfall interception, evapotranspiration, photosynthesis, and hydrological processes. Due to the difficulty in obtaining large-scale field measurement data, LIA is typically assumed to follow the spherical leaf distribution or simply considered constant for different plant types. However, the appropriateness of these simplifications and the global LIA distribution are still unknown. This study compiled global LIA measurements and generated the first global 500 m mean LIA (MLA) product by gap-filling the LIA measurement data using a random forest regressor. Different generation strategies were employed for noncrops and crops. The MLA product was evaluated by validating the nadir leaf projection function (G(0)) derived from the MLA product with high-resolution reference data. The global MLA is 41.47°±9.55°, and the value increases with latitude. The MLAs for different vegetation types follow the order of cereal crops (54.65°) > broadleaf crops (52.35°) > deciduous needleleaf forest (50.05°) > shrubland (49.23°) > evergreen needleleaf forest (47.13°) ≈ grassland (47.12°) > deciduous broadleaf forest (41.23°) > evergreen broadleaf forest (34.40°). Cross-validation shows that the predicted MLA presents a medium consistency (r = 0.75, RMSE = 7.15°) with the validation samples for noncrops, whereas crops show relatively lower correspondence (r = 0.48 and 0.60 for broadleaf crops and cereal crops) because of limited LIA measurements and strong seasonality. The global G(0) distribution is opposite to that of the MLA and agrees moderately with the reference data (r = 0.62, RMSE = 0.15). This study shows that the common spherical and constant LIA assumptions may underestimate the intercept capability for most vegetation. The MLA and G(0) products derived in this study would enhance our knowledge about global LIA and should greatly facilitate remote sensing retrieval and land surface modeling studies."
10.5194/essd-2024-309,True,Earth System Science Data Discussions,该研究主要关注北美大西洋沿岸海洋边缘海表二氧化碳分压（pCO2）的重建，利用机器学习和环境数据，重建了1993年至2021年的海表二氧化碳水平。研究中使用了卫星数据和再分析数据作为模型输入，并验证了模型的准确性。该研究成果可以为研究沿海碳循环和气候变化影响提供可靠的数据支撑。,"['sea surface pCO2', 'satellite-derived', 'reanalysis', 'coastal carbon dynamics', 'climate change impacts']",Zelun Wu;Wenfang Lu;Alizée Roobaert;Luping Song;Xiao-Hai Yan;Wei-Jun Cai,A machine-learning reconstruction of sea surface pCO2 in the North American Atlantic Coastal Ocean Margin from 1993 to 2021,"This study addresses the lack of comprehensive sea surface CO2 data in North American Atlantic coastal regions by developing a new pCO2-product (ReCAD-NAACOM-pCO2). Using machine learning and environmental data, it reconstructs sea surface CO2 levels from 1993–2021. The product accurately captures seasonal cycles, regional variations, and long-term trends, outperforming earlier attempts. It provides crucial data for studying coastal carbon dynamics and climate change impacts. 
 Insufficient spatiotemporal coverage of partial pressure of CO2 (pCO2) observations has hindered precise studies of the coastal carbon cycle along the North American Atlantic Coastal Ocean Margin (NAACOM). Earlier pCO2-products have encountered difficulties in accurately capturing the heterogeneity of regional variations and decadal trends of pCO2 in the NAACOM. This study developed a regional reconstructed pCO2-product for the NAACOM (Reconstructed Coastal Acidification Database-pCO2, or ReCAD-NAACOM-pCO2) using a two-step approach combining random forest regression and linear regression. The product provides monthly pCO2 data at 0.25° spatial resolution from 1993 to 2021, enabling investigation of regional spatial differences, seasonal cycles, and decadal changes in pCO2. The observation-based reconstruction was trained using Surface Ocean CO2 Atlas (SOCAT) observations as ground-truth values, with various satellite-derived and reanalysis environmental variables known to control sea surface pCO2 as model inputs. The product shows high accuracy during the model training, validation, and independent test phases, demonstrating robustness and capability to accurately reconstruct pCO2 in regions or periods lacking direct observational data in the NAACOM. Compared with all the observation samples from SOCAT, the pCO2-product yields a determination coefficient of 0.83, a root-mean-square error of 18.64 µatm, and an accumulative uncertainty of 23.83 µatm. The ReCAD-NAACOM-pCO2 product demonstrates its capability to resolve seasonal cycles, regional-scale variations, and decadal linear trends of pCO2 along the NAACOM. This new product provides reliable pCO2 data for more precise studies of coastal carbon dynamics in the NAACOM region. The dataset is publicly accessible at https://doi.org/10.5281/zenodo.11500974 (Wu et al., 2024a) and will be updated regularly."
