doi,journal,is_relevant,topic_words,title,abstract,authors,explanation
10.1038/s41467-024-51349-y,Nature Communications,False,[],Reconstruction of human dispersal during Aurignacian on pan-European scale,"Anatomically modern humans dispersed through Europe during the Upper Palaeolithic. Here, the authors model this dispersal combining archaeological, paleoclimate, and palaeoecological data and investigating how these variables impacted human demographic processes. 
 The Aurignacian is the first techno-complex related with certainty to Anatomically Modern Humans in Europe. Studies show that they appeared around 43-42 kyr cal BP and dispersed rapidly in Europe during the Upper Palaeolithic. However, human dispersal is a highly convoluted process which is until today not well understood. Here, we provide a reconstruction of the human dispersal during the Aurignacian on the pan-European scale using a human dispersal model, the Our Way Model, which combines archaeological with paleoclimate data and uses the human existence potential as a unifying driver of human population dynamics. Based on the reconstruction, we identify the different stages of the human dispersal and analyse how human demographic processes are influenced by climate change and topography. A chronology of the Aurignacian human groups in Europe is provided, which is verified for locations where archaeological dating records are available. Insights into highly debated hypotheses, such as human dispersal routes, are provided. Anatomically modern humans dispersed through Europe during the Upper Palaeolithic. Here, the authors model this dispersal combining archaeological, paleoclimate, and palaeoecological data and investigating how these variables impacted human demographic processes.",Yaping Shao;Christian Wegener;Konstantin Klein;Isabell Schmidt;Gerd-Christian Weniger,该研究论文主要关注旧石器时代晚期欧洲人类的迁徙过程，结合考古、古气候和古生态数据，利用人类扩散模型重建了奥瑞纳文化时期人类在泛欧洲范围内的扩散过程。研究重点在于分析气候变化和地形对人类人口动态的影响，并探讨人类扩散路线等问题。该研究与大气环境遥感技术关系不大，没有涉及空气质量监测、卫星观测或大气成分分析等内容。
10.1038/s41467-024-51844-2,Nature Communications,False,[],Fine-tuning protein language models boosts predictions across diverse tasks,"The use of protein language model embeddings has demonstrated state-of-the-art performance in many protein prediction tasks. Here, authors investigate parameter-efficient fine-tuning to further enhance performance and make this technique accessible through their easy-to-use notebooks. 
 Prediction methods inputting embeddings from protein language models have reached or even surpassed state-of-the-art performance on many protein prediction tasks. In natural language processing fine-tuning large language models has become the de facto standard. In contrast, most protein language model-based protein predictions do not back-propagate to the language model. Here, we compare the fine-tuning of three state-of-the-art models (ESM2, ProtT5, Ankh) on eight different tasks. Two results stand out. Firstly, task-specific supervised fine-tuning almost always improves downstream predictions. Secondly, parameter-efficient fine-tuning can reach similar improvements consuming substantially fewer resources at up to 4.5-fold acceleration of training over fine-tuning full models. Our results suggest to always try fine-tuning, in particular for problems with small datasets, such as for fitness landscape predictions of a single protein. For ease of adaptability, we provide easy-to-use notebooks to fine-tune all models used during this work for per-protein (pooling) and per-residue prediction tasks. The use of protein language model embeddings has demonstrated state-of-the-art performance in many protein prediction tasks. Here, authors investigate parameter-efficient fine-tuning to further enhance performance and make this technique accessible through their easy-to-use notebooks.",Robert Schmirler;Michael Heinzinger;Burkhard Rost,这篇论文主要研究的是蛋白质语言模型的微调，通过在不同蛋白质预测任务上对三种先进模型（ESM2，ProtT5，Ankh）进行微调，作者发现特定任务的监督微调几乎总是能提高下游预测结果。此外，参数高效的微调可以以高达 4.5 倍的训练速度，在消耗明显更少资源的情况下达到类似的改进。论文还提供了易于使用的笔记本，方便用户对所有模型进行微调，用于蛋白质预测任务。总而言之，这篇论文关注的是蛋白质语言模型在蛋白质预测任务中的应用，与大气环境遥感技术关系不大。
,Remote Sensing of Environment,True,"['remote sensing', 'drought', 'spatial patterns', 'temporal patterns', 'fused datasets', 'satellite observations', 'vegetation indices', 'land surface temperature', 'urbanization']",Urbanization-induced spatial and temporal patterns of local drought revealed by high-resolution fused remotely sensed datasets,,Shuzhe Huang;Siqi Wang;Jing Chen;Chao Wang;Xiang Zhang;Jiefeng Wu;Chunlong Li;Aminjon Gulakhmadov;Dev Niyogi;Nengcheng Chen,该研究利用高分辨率融合遥感数据，分析了城市化对局部干旱时空格局的影响。研究中使用了多种遥感数据，包括植被指数、地表温度等，这些数据可以反映出干旱的程度和范围。通过分析这些数据，研究者可以了解城市化如何改变干旱的发生频率、持续时间和强度。
,Remote Sensing of Environment,False,[],Global mapping of human-transformed dike-pond systems,,Yang Xu;Lian Feng;Hongwei Fang;Xiao-Peng Song;Fabian Gieseke;Ankit Kariryaa;Stefan Oehmcke;Luke Gibson;Xiating Jiang;Ruimin Lin;R. Iestyn Woolway;Chunmiao Zheng;Martin Brandt;Rasmus Fensholt,该研究的标题和摘要表明它关注的是人类改造的堤塘系统，这是一种水利工程和生态系统，与大气环境遥感技术关系不大。研究可能涉及地理空间分析、土地利用变化、水文模型等，但与空气质量监测、卫星观测或大气成分分析无关。
,Remote Sensing of Environment,True,"['water storage anomaly', 'global scale', 'downscaling', 'machine learning', 'satellite observation']",A machine learning downscaling framework based on a physically constrained sliding window technique for improving resolution of global water storage anomaly,,Gangqiang Zhang;Tongren Xu;Wenjie Yin;Sayed M. Bateni;Changhyun Jun;Dongkyun Kim;Shaomin Liu;Ziwei Xu;Wenting Ming;Jiancheng Wang,该论文提出了一种基于物理约束滑动窗口技术的机器学习降尺度框架，用于提高全球水储量异常的解析度。这与大气环境遥感技术密切相关，因为水储量异常是地球气候系统的重要指标，可以通过卫星观测来监测。该论文利用机器学习技术将粗分辨率的卫星数据降尺度到更精细的尺度，从而提高对水储量异常的理解和预测能力。
,Remote Sensing of Environment,False,"['paddy rice fields', 'spectra', 'transplanting period', 'CIE colour space']",An efficient and generalisable approach for mapping paddy rice fields based on their unique spectra during the transplanting period leveraging the CIE colour space,,Huapeng Li;Jujian Huang;Ce Zhang;Xiangyu Ning;Shuqing Zhang;Peter M. Atkinson,这篇论文主要关注利用水稻移植期的独特光谱特征，基于CIE颜色空间，来识别和绘制水稻田。它与大气环境遥感技术关系不大，主要涉及农业遥感和图像处理领域。
,Remote Sensing of Environment,False,"['aboveground biomass', 'GEDI', 'hierarchical models', 'Indonesian lowland forests']",Mapping aboveground biomass in Indonesian lowland forests using GEDI and hierarchical models,,Paul B. May;Michael Schlund;John Armston;Martyna M. Kotowska;Fabian Brambach;Arne Wenzel;Stefan Erasmi,这篇论文主要研究的是利用GEDI卫星数据和分层模型来估算印度尼西亚低地森林地上生物量，属于遥感技术在森林生态学方面的应用，与大气环境遥感技术关系不大。
,Remote Sensing of Environment,True,"['soil moisture', 'vegetation optical depth', 'AMSR2', 'satellite observations', 'remote sensing']","A novel AMSR2 retrieval algorithm for global C-band vegetation optical depth and soil moisture (AMSR2 IB): Parameters' calibration, evaluation and inter-comparison",,Mengjia Wang;Philippe Ciais;Frédéric Frappart;Shengli Tao;Lei Fan;Rui Sun;Xiaojun Li;Xiangzhuo Liu;Huan Wang;Jean-Pierre Wigneron,这篇论文研究了一种新的算法，利用 AMSR2 卫星数据来反演全球 C 波段植被光学厚度和土壤水分。AMSR2 是一种微波辐射计，可以测量地表发射的微波辐射，这些信息可以用来推断土壤水分和植被状况。这项研究对该算法的参数进行了校准和评估，并与其他方法进行了比较。
,Remote Sensing of Environment,True,"['soil moisture', 'remote sensing', 'satellite observations', 'deep learning']",Bridging spatio-temporal discontinuities in global soil moisture mapping by coupling physics in deep learning,,Zushuai Wei;Linguang Miao;Jian Peng;Tianjie Zhao;Lingkui Meng;Hui Lu;Zhiqing Peng;Michael H. Cosh;Bin Fang;Venkat Lakshmi;Jiancheng Shi,该论文研究了利用深度学习技术结合物理模型来解决全球土壤水分遥感数据时空不连续性问题。土壤水分是陆地生态系统的重要组成部分，对气候变化和水循环有着重要影响。利用卫星遥感技术可以获取大范围的土壤水分数据，但由于卫星观测的时间和空间分辨率限制，以及不同传感器之间数据的不一致性，会导致数据时空不连续性。该论文通过将物理模型与深度学习方法相结合，建立了土壤水分时空连续性模型，提高了土壤水分遥感数据的精度和可靠性。
10.1016/j.rse.2024.114355,Remote Sensing of Environment,True,"['aerosol', 'surface', 'characterization', 'TROPOMI', 'GRASP', 'satellite', 'remote sensing', 'air quality', 'atmospheric composition']","Extended aerosol and surface characterization from S5P/TROPOMI with GRASP algorithm. Part I: Conditions, approaches, performance and new possibilities","•Extended aerosol/surface characterization can be derived from single angle measurements. •The conditions for the extended characterization are analyzed •The quality of TROPOMI/GRASP extended product is discussed. •The new possibilities of the TROPOMI/GRASP extended retrieval are demonstrated. 
 Atmospheric aerosols have strong impact on climate, environment, and health. To account correctly for such impact, extended aerosol characterization, including spectral Aerosol Optical Depth (AOD), Angstrom Exponent (AE), spectral Single Scattering Albedo (SSA) etc., are required to be derived globally from space-borne observations. Together with the aerosol, the Earth's surfaces are an important component of climate system, reflecting and absorbing solar and atmospheric radiation and being sources of emission of different natural aerosol, for example, sea-salt, mineral dust or organic aerosol.Since the beginning of space-borne atmospheric observation it was recognized that the most comprehensive extended aerosol and surface characterization can be achieved from multi-angular polarimetric measurements. In this paper, we show that the extended aerosol characterization can be obtained even from single viewing radiance only satellite measurements when several crucial conditions are fulfilled both for the observations and retrieval algorithm: (i) wide spectral range (for example, covering UV, VIR, NIR and SWIR spectra) providing rich spectral information about aerosol and surface; (ii) wide swath of measurements ensuring frequent overpassing over the same ground pixel to account for the different temporal variability of aerosol and surface properties as well as for angular dependence of surface reflectance; (iii) applied algorithm should be able to treat multi-temporal and multi-spatial observation accounting for spatial and temporal dependencies of aerosol and surface characteristics.The new possibilities of retrieval of aerosol and surface properties are investigated by applying the advanced GRASP (Generalized Retrieval of Atmosphere and Surface Properties) algorithm to the space-borne S5P/TROPOMI observations. The most optimal for these purposes forward and inversion approaches are discussed, and the quality of retrieved aerosol and surface properties is evaluated. The possibilities of TROPOMI/GRASP approach for aerosol extended characterization are demonstrated on several aerosol events including dust storms, biomass burning and anthropogenic aerosol pollution outbreaks in worldwide locations.",Pavel Litvinov;Cheng Chen;Oleg Dubovik;Lukas Bindreiter;Christian Matar;David Fuertes;Anton Lopatin;Tatyana Lapyonok;Verena Lanzinger;Andreas Hangler;Michael Aspetsberger;Martin de Graaf;Lieuwe Gijsbert Tilstra;Piet Stammes;Alexandru Dandocsi;Daniele Gasbarra;Elody Fluck;Claus Zehner;Christian Retscher,这篇论文研究了利用卫星观测数据进行大气环境遥感，特别是利用Sentinel-5P卫星搭载的TROPOMI传感器获取数据，并结合GRASP算法进行扩展的“气溶胶和地表特征”反演。论文重点关注了从单角度观测数据中提取扩展气溶胶和地表特征的可能性，并分析了实现这一目标所需的条件和算法。论文还展示了该方法在不同气溶胶事件（如沙尘暴、生物质燃烧、人为污染等）中的应用，并评估了反演结果的质量。
