doi,is_relevant,journal,explanation,topic_words,authors,title,abstract
10.1021/acs.est.4c12940,False,Environmental Science & Technology,该研究论文主要关注的是海底冷泉中黑碳的形成及其对海洋黑碳预算的潜在贡献，重点在于厌氧甲烷氧化古菌（ANME）产生的黑碳在海洋环境中的存在和影响。研究内容涉及黑碳的地球化学性质、同位素组成分析以及其在深海碳循环中的作用。虽然黑碳与大气环境存在关联，但该研究的重点是海洋环境，而非大气环境遥感技术，如空气质量监测、卫星观测或大气成分分析。,[],Xudong Wang;Mingzhu Lin;Jörn Peckmann;Germain Bayon;Qianyong Liang;Harry H. Roberts;Dong Feng,Black Carbon Formation at Cold Seeps and Its Potential Contribution to the Marine Black Carbon Budget,"The long-term carbon sequestration capacity of black carbon (BC) is among the factors controlling climate change dynamics. Culture experiments have revealed that anaerobic methanotrophic archaea (ANME) can produce BC, but their impact on the marine BC cycle has not been thoroughly investigated. This study examined the geochemical properties of BC preserved in seep carbonates from the South China Sea and the Gulf of Mexico. δ13CBC values as low as −45.2‰ were observed in seep carbonates, representing the first documented case of ANME-derived BC in natural settings. With the observed range of BC isotope compositions and further calculations with a Bayesian mixing model, microbially produced BC may account for 2–33% of the total BC enclosed in the studied seep carbonates. By integrating data from various empirical studies, the analyses of radiocarbon (Δ14C) compositions suggests that BC in the deep sea is generally older than the associated organic carbon. Given that the organic carbon found at seeps is typically older than the organic carbon in the surrounding sediment not affected by seepage, BC originating from seeps could serve as a plausible source of aged dissolved BC in the deep sea."
10.1021/acs.est.4c13026,False,Environmental Science & Technology,该研究论文主要关注的是利用液相色谱-高分辨率质谱（LC-HRMS）技术对复杂环境样品中的未知成分进行分析和优先级排序。论文提出了一种新的优先级排序策略，该策略将碎片和色谱数据直接与水生毒性类别联系起来，而无需识别单个化合物。该方法主要应用于水生环境毒理学领域，与大气环境遥感技术，如空气质量监测、卫星观测和大气成分分析等，没有直接关联。,[],Viktoriia Turkina;Jelle T. Gringhuis;Sanne Boot;Annemieke Petrignani;Garry Corthals;Antonia Praetorius;Jake W. O’Brien;Saer Samanipour,Prioritization of Unknown LC-HRMS Features Based on Predicted Toxicity Categories,"Complex environmental samples contain a diverse array of known and unknown constituents. While liquid chromatography coupled with high-resolution mass spectrometry (LC-HRMS) nontargeted analysis (NTA) has emerged as an essential tool for the comprehensive study of such samples, the identification of individual constituents remains a significant challenge, primarily due to the vast number of detected features in each sample. To address this, prioritization strategies are frequently employed to narrow the focus to the most relevant features for further analysis. In this study, we developed a novel prioritization strategy that directly links fragmentation and chromatographic data to aquatic toxicity categories, bypassing the need for identification of individual compounds. Given that features are not always well-characterized through fragmentation, we created two models: (1) a Random Forest Classification (RFC) model, which classifies fish toxicity categories based on MS1, retention, and fragmentation data─expressed as cumulative neutral losses (CNLs)─when fragmentation information is available, and (2) a Kernel Density Estimation (KDE) model that relies solely on retention time and MS1 data when fragmentation is absent. Both models demonstrated accuracy comparable to that of structure-based prediction methods. We further tested the models on a pesticide mixture in a tea extract measured by LC-HRMS, where the CNL-based RFC model achieved 0.76 accuracy and the KDE model reached 0.61, showcasing their robust performance in real-world applications."
10.1021/acs.est.4c13480,False,Environmental Science & Technology,该研究论文主要关注针铁矿中杂质对氧化还原性质的影响，重点在于镍和锌的局部配位环境如何影响针铁矿的氧化还原电位和稳定性。研究方法包括水溶液氧化还原测量和X射线吸收光谱等，旨在揭示杂质如何影响铁氧化物在生物地球化学反应中的作用。虽然铁氧化物可能存在于大气颗粒物中，但该研究并未直接涉及大气环境遥感技术，如空气质量监测、卫星观测或大气成分分析。因此，该论文与大气环境遥感技术的关联性较弱。,[],Drew E. Latta;Sebastian T. Mergelsberg;Duo Song;Eric J. Bylaska;Michelle M. Scherer;Bryanna Popejoy;Sarah A. Saslow;Jeffrey G. Catalano;Eugene S. Ilton,Effect of Impurities on the Redox Properties of Goethite,"Iron oxide minerals regulate the flux of electrons in the environment and are important hosts for trace and minor, yet critical, elements. Here, we present the first evidence of a direct link between the local coordination environments of Ni and Zn and the redox properties of their host phase goethite (α-FeOOH), the most abundant Fe(III) (oxyhydr)oxide at Earth’s surface. We used aqueous redox measurements to show that the redox potential EH0, and hence the mineral’s stability, follows the order: pure goethite ≥ Zn-goethite > Ni-goethite. Parallel X-ray absorption and scattering measurements demonstrate, using quantum-informed analysis, that the local coordination environment of the smaller impurity, Ni, causes more bulk strain energy than Zn, which nearly accounts for the difference in EH0 between Ni- and Zn-goethite. Our theory-informed, experimental study reveals how two common impurities affect the stability of goethite with implications for the biogeochemical reactivity of Fe(III) (oxyhydr)oxide in mediating elemental and electron fluxes in the environment."
10.1021/acs.estlett.5c00275,False,Environmental Science & Technology Letters,该研究论文主要关注的是青藏高原多年冻土融化后，活动层释放的有机物质对水资源的影响，特别是那些具有持久性、移动性和毒性的有机物质（PMT）以及非常持久和非常移动的有机物质（vPvM）。论文通过分析现有文献，评估了这些物质对下游饮用水源和地下水质量的潜在威胁。虽然该研究与环境有关，但它主要集中在水资源方面，而不是大气环境遥感技术，如空气质量监测、卫星观测或大气成分分析。,[],Min Han;Biao Jin;Hans Peter H. Arp,The Active Soil Layer of Thawing Permafrost Is an Emergent Source for Organic Substances of Concern to Water Resources,"The Tibetan Plateau and surrounding area are an important source of freshwater for approximately two billion people. Climate change has aggregated permafrost degradation in the Tibetan Plateau over the last few decades, mobilizing organic substances sequestrated in the permafrost. Of particular concern are the mobilized organic substances that would be considered persistent, mobile, and toxic (PMT) or very persistent and very mobile (vPvM). These PMT and vPvM substances would persist and be widespread in the downstream water distribution system, potentially threatening drinking water sources and groundwater quality. Our study evaluated and identified PMT and vPvM substances among 21 currently available literature reports that reported detected organic compounds in the active soil of permafrost. Our approach combined a standard evaluation scheme and a machine learning model. We reported that 34% of these detected compounds are PMT/vPvM substances; these compounds were of either synthetic, natural, or undefined origin. The impact that further permafrost degradation will have on releasing these PMT/vPvM substances on water resources should be prioritized."
10.1021/acs.estlett.5c00289,False,Environmental Science & Technology Letters,该研究主要关注海洋环境中微纳米塑料（MNPs）及其形成的生物冠对海洋鱼类（青鳉）视觉系统的毒性影响。研究内容包括MNPs对鱼眼形态、视网膜细胞、视觉相关基因表达的影响，以及生物冠如何加剧这些毒性效应。虽然研究涉及环境污染物，但其重点在于水生生态毒理学，与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关联。,[],Yuqing Ma;Ling Liu;Yanan Xu;Jianxue Feng;Cunlong Wang;Bin Liu;Peiran Lin;Haiyang Yin;Le Sun;Ping Li;Zhi-Hua Li,Aggravated Visual Toxicity of Eco-Corona on Micro(Nano)Plastics in Marine Medaka (Oryzias melastigma),"In marine environments, micro(nano)plastics (MNPs) and biomolecules will inevitably combine to form eco-corona. However, the presence of eco-corona may change MNP physicochemical properties, thereby impacting their biological effects. This study investigated how eco-corona influenced the visual toxicity and potential mechanisms of MNPs in marine medaka. The results showed that MNPs, with or without eco-corona, can cause eye malformation, retinal damage, eye cell apoptosis, and suppression of visual-related gene expression. Although MNPs caused visual impairments, they did not lead to abnormal behavior during light-dark alternation. Moreover, while 5 μm polystyrene microplastics (MP5) caused eye swelling, 50 nm polystyrene microplastics (NP50) resulted in more severe retinal damage. Regardless of eco-corona, NP50 induced greater activity during dark periods compared with MP5. Notably, eco-corona exacerbated retinal damage and cell apoptosis caused by MNPs, leading to increased activity. The analysis of visual-related genes revealed that eco-corona aggravated the visual toxicity of MNPs, and NP50 exhibited greater visual toxicity than MP5, regardless of eco-corona. Overall, smaller MNPs may pose higher risks to the visual system in real marine environments. This study provides novel insights into the effects of eco-corona in MNP-induced visual toxicity and highlights the importance of considering biomolecules in marine environments."
10.1029/2025GL115438,False,Geophysical Research Letters,该论文主要研究地球磁尾中的偶极化前沿(DFs)和磁洞(MHs)，以及它们在能量转换中的作用。通过磁层多尺度任务的观测，发现了一个位于DF后面的亚离子尺度MH。研究表明，这种MH是由互换不稳定性(ICI)产生的，其内部的能量转换是由MH内部的局部电子涡流和DF上的背景电场引起的。这项研究有助于我们理解亚暴期间的能量注入和DF附近的能量转换。该研究与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关系。,[],Z. Y. Xu;H. S. Fu;W. D. Fu;W. Z. Zhang;Z. Wang;Z. Z. Guo;C. X. Du;J. B. Cao,Strong Energy Conversion by a Magnetic Hole Behind a Dipolarization Front,"Dipolarization fronts (DFs) have been widely reported in the Earth's magnetotail and are suggested to play an important role in energy conversion. Magnetic holes (MHs) are also usually observed near DFs, and recent spacecraft observations suggest that they can be excited by interchange instability (ICI). However, whether the MHs near DFs could contribute to energy conversion is still unknown. Here, by using the Magnetospheric Multiscale mission observations, we find a sub‐ion scale MH behind a DF. We present a two‐dimensional illustration of the MH, revealing that such an MH was generated by the ICI. Inside this MH, a significant energy conversion up to ∼2 nW/m3 (higher than typical observations near DFs) is caused by the local electron vortex current inside the MH and the background electric field on the DF. This study improves our understanding of energy injection during substorms and energy conversion near DFs."
10.1029/2025GL115044,False,Geophysical Research Letters,该论文主要关注土壤湿度的大尺度变化，并提出了一个基于降水和地表净辐射的简单理论来解释这种变化。论文探讨了土壤湿度纬向分布的W型特征以及在一些降水增加区域土壤湿度反而随气候变暖而降低的现象。虽然气候变化与大气环境密切相关，但该论文的核心内容是关于陆地表面的水文过程，而非大气环境遥感技术，如空气质量监测、卫星观测或大气成分分析。,[],Tara Gallagher;Kaighin A. McColl,Climate‐Scale Variability in Soil Moisture Explained by a Simple Theory,"There is no basic explanation for soil moisture variability in the current climate, and models diverge on the sign of expected changes in a warming world. Here, we present a diagnostic physical theory for soil moisture at large scales. The theory is radically simpler than published alternatives, dependent only on precipitation and surface net radiation with no free parameters. Minor variations improve its performance. The theory answers two basic questions: (a) Why does soil moisture exhibit a W‐shaped latitudinal profile, even though precipitation over land does not? Poleward declines in net radiation resolve this discrepancy. (b) Why does soil moisture decrease with warming in some regions where precipitation increases? The theory predicts this phenomenon where fractional increases in net radiation exceed those in precipitation. Common alternative mechanisms, which invoke changes in vapor pressure deficit or plant responses to CO2 ${\text{CO}}_{2}$, are inessential to explaining first‐order changes in soil moisture with warming."
10.1038/d41586-025-01235-4,False,Nature,该论文主要讲述了印度在五十年前首次发射卫星的故事，重点在于展示一个低收入国家如何通过自主设计和建造航天器来实现太空探索的壮举。文章的核心在于印度的航天发展历程和其在国际太空领域的地位，而非大气环境遥感技术本身。虽然卫星可以用于大气监测，但摘要和标题并未提及任何与空气质量监测、卫星观测或大气成分分析相关的具体应用或技术。,"['Space travel', 'Satellite launch', 'Low-income country', 'Indian scientists', 'Spacecraft design']",Pranav Sharma,How India rewrote the rules of space travel when it launched its first satellite,"Fifty years ago, a spacecraft designed and built by young Indian scientists redefined what a low-income country could achieve. 
 Fifty years ago, a spacecraft designed and built by young Indian scientists redefined what a low-income country could achieve.  Fifty years ago, a spacecraft designed and built by young Indian scientists redefined what a low-income country could achieve."
10.1038/s41467-025-58886-0,False,Nature Communications,该论文主要研究黑磷中的激子凝聚和超流动性，利用光电流谱技术来探测激子绝缘体的特征。论文关注的是凝聚态物理中的一种量子现象，与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关系。因此，该论文与大气环境遥感技术不相关。,[],Jiadong Mei;Yue Wang;Ruixiang Fei;Junzhuan Wang;Xuetao Gan;Bo Liu;Xiaomu Wang,Evidence for excitonic condensation and superfluidity in black phosphorus,"Signatures of excitonic insulators can be challenging to identify. Here, the authors use photocurrent spectroscopy to show signatures of an excitonic insulator and its superfluidity in few layer black phosphorus. 
 Excitonic condensation refers to the spontaneous formation of correlated electron-hole pairs. These collective states, also known as excitonic insulator, are expected to lead to intriguing many-body physics such as Bose-Einstein-condensates and Bardeen-Cooper-Schrieffer crossover. While the occurrence of excitonic insulator has been confirmed by measuring charge gaps, related macro-quantum phenomenon are less often observed. Here we report the signature of exciton insulator and its superfluidity in dual-gate few layer black phosphorus. Using Fourier transform infrared photo-current spectroscopy, we characterize the behavior of electron-hole pairs in black phosphorus. When shrinking the bandgap of photo-excited black phosphorus by electric displacement, we observe excitonic insulator formation featured by a sharp change of infrared photo-current spectrum and charge compressibility. This condensation presents a Bardeen-Cooper-Schrieffer -like temperature dependence with a critical temperature of ~17 K. We observe that the intrinsic black phosphorus photocurrent simultaneously vanishes with the formation of excitonic condensation. This vanished photocurrent is resilient against reasonable in-plane electric fields, indicating robust electron-hole pair binding state and providing evidence for the potential superfluidity of the exciton bosons. Our work not only reveals the exotic quantum phases and unusual orderings in excitonic insulator, but also provides a perspective for the study of composite Fermions. Signatures of excitonic insulators can be challenging to identify. Here, the authors use photocurrent spectroscopy to show signatures of an excitonic insulator and its superfluidity in few layer black phosphorus."
10.1038/s41467-025-58874-4,False,Nature Communications,该论文主要关注空间多组学数据的细胞类型和状态反卷积算法TACIT的开发和应用，旨在提高空间生物学中细胞注释的准确性和效率。论文使用来自大脑、肠道和腺体的多个数据集验证了TACIT算法的性能，并将其应用于炎症性疾病的研究。该研究与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关系，主要集中在生物信息学和空间生物学领域。,[],Khoa L. A. Huynh;Katarzyna M. Tyc;Bruno F. Matuck;Quinn T. Easter;Aditya Pratapa;Nikhil V. Kumar;Paola Pérez;Rachel J. Kulchar;Thomas J. F. Pranzatelli;Deiziane de Souza;Theresa M. Weaver;Xufeng Qu;Luiz Alberto Valente Soares Junior;Marisa Dolhnokoff;David E. Kleiner;Stephen M. Hewitt;Luiz Fernando Ferraz da Silva;Vanderson Geraldo Rocha;Blake M. Warner;Kevin M. Byrd;Jinze Liu,Deconvolution of cell types and states in spatial multiomics utilizing TACIT,"Spatial multi-omics analysis tools have lagged behind advancements in single-cell technologies. Here, authors introduce TACIT, a scalable tool for automated cell type and state deconvolution from spatial multi-omics datasets, improving accuracy and efficiency over existing methods. 
 Identifying cell types and states remains a time-consuming, error-prone challenge for spatial biology. While deep learning increasingly plays a role, it is difficult to generalize due to variability at the level of cells, neighborhoods, and niches in health and disease. To address this, we develop TACIT, an unsupervised algorithm for cell annotation using predefined signatures that operates without training data. TACIT uses unbiased thresholding to distinguish positive cells from background, focusing on relevant markers to identify ambiguous cells in multiomic assays. Using five datasets (5,000,000 cells; 51 cell types) from three niches (brain, intestine, gland), TACIT outperforms existing unsupervised methods in accuracy and scalability. Integrating TACIT-identified cell types reveals new phenotypes in two inflammatory gland diseases. Finally, using combined spatial transcriptomics and proteomics, we discover under- and overrepresented immune cell types and states in regions of interest, suggesting multimodality is essential for translating spatial biology to clinical applications. Spatial multi-omics analysis tools have lagged behind advancements in single-cell technologies. Here, authors introduce TACIT, a scalable tool for automated cell type and state deconvolution from spatial multi-omics datasets, improving accuracy and efficiency over existing methods."
